sentence,vocab,model_name,gold,eval,if_frequent
"Someone told me a secret, it happened next to the {vocab}.",hideout,basic,I-ARGM-LOC,1,1
"Someone told me a secret, it happened next to the {vocab}.",amphitheater,basic,I-ARGM-LOC,1,1
"Someone told me a secret, it happened next to the {vocab}.",obelisk,basic,I-ARGM-LOC,1,1
"Someone told me a secret, it happened next to the {vocab}.",cafes,basic,I-ARGM-LOC,1,1
"Someone told me a secret, it happened next to the {vocab}.",dormitories,basic,I-ARGM-LOC,1,1
"Someone told me a secret, it happened next to the {vocab}.",pyramids,basic,I-ARGM-LOC,1,1
"Someone told me a secret, it happened next to the {vocab}.",westinghouse,basic,I-ARGM-LOC,1,1
"Someone told me a secret, it happened next to the {vocab}.",backyard,basic,I-ARGM-LOC,1,1
"Someone told me a secret, it happened next to the {vocab}.",bastion,basic,I-ARGM-LOC,1,1
"Someone told me a secret, it happened next to the {vocab}.",stair,basic,I-ARGM-LOC,1,1
"Someone told me a secret, it happened next to the {vocab}.",hideout,bert,I-ARGM-LOC,1,1
"Someone told me a secret, it happened next to the {vocab}.",amphitheater,bert,I-ARGM-LOC,1,1
"Someone told me a secret, it happened next to the {vocab}.",obelisk,bert,I-ARGM-LOC,1,1
"Someone told me a secret, it happened next to the {vocab}.",cafes,bert,I-ARGM-LOC,1,1
"Someone told me a secret, it happened next to the {vocab}.",dormitories,bert,I-ARGM-LOC,1,1
"Someone told me a secret, it happened next to the {vocab}.",pyramids,bert,I-ARGM-LOC,1,1
"Someone told me a secret, it happened next to the {vocab}.",westinghouse,bert,I-ARGM-LOC,1,1
"Someone told me a secret, it happened next to the {vocab}.",backyard,bert,I-ARGM-LOC,1,1
"Someone told me a secret, it happened next to the {vocab}.",bastion,bert,I-ARGM-LOC,1,1
"Someone told me a secret, it happened next to the {vocab}.",stair,bert,I-ARGM-LOC,1,1
"Someone told me a secret, it happened next to the {vocab}.",pool,basic,I-ARGM-LOC,1,0
"Someone told me a secret, it happened next to the {vocab}.",territories,basic,I-ARGM-LOC,1,0
"Someone told me a secret, it happened next to the {vocab}.",landscape,basic,I-ARGM-LOC,1,0
"Someone told me a secret, it happened next to the {vocab}.",transition,basic,I-ARGM-LOC,1,0
"Someone told me a secret, it happened next to the {vocab}.",oak,basic,I-ARGM-LOC,1,0
"Someone told me a secret, it happened next to the {vocab}.",manor,basic,I-ARGM-LOC,1,0
"Someone told me a secret, it happened next to the {vocab}.",locomotives,basic,I-ARGM-LOC,1,0
"Someone told me a secret, it happened next to the {vocab}.",departments,basic,I-ARGM-LOC,1,0
"Someone told me a secret, it happened next to the {vocab}.",shops,basic,I-ARGM-LOC,1,0
"Someone told me a secret, it happened next to the {vocab}.",restaurants,basic,I-ARGM-LOC,1,0
"Someone told me a secret, it happened next to the {vocab}.",pool,bert,I-ARGM-LOC,1,0
"Someone told me a secret, it happened next to the {vocab}.",territories,bert,I-ARGM-LOC,1,0
"Someone told me a secret, it happened next to the {vocab}.",landscape,bert,I-ARGM-LOC,1,0
"Someone told me a secret, it happened next to the {vocab}.",transition,bert,I-ARGM-LOC,1,0
"Someone told me a secret, it happened next to the {vocab}.",oak,bert,I-ARGM-LOC,1,0
"Someone told me a secret, it happened next to the {vocab}.",manor,bert,I-ARGM-LOC,1,0
"Someone told me a secret, it happened next to the {vocab}.",locomotives,bert,I-ARGM-LOC,1,0
"Someone told me a secret, it happened next to the {vocab}.",departments,bert,I-ARGM-LOC,1,0
"Someone told me a secret, it happened next to the {vocab}.",shops,bert,I-ARGM-LOC,1,0
"Someone told me a secret, it happened next to the {vocab}.",restaurants,bert,I-ARGM-LOC,1,0
