sentence,vocab,model_name,gold,eval,if_frequent,if_negation
It was her who hurt him with {vocab}.,glue,basic,I-ARG2,1,1,0
It was her who hurt him with {vocab}.,wick,basic,I-ARG2,1,1,0
It was her who hurt him with {vocab}.,watercolor,basic,I-ARG2,1,1,0
It was her who hurt him with {vocab}.,gossypol,basic,I-ARG2,0,1,0
It was her who hurt him with {vocab}.,jam,basic,I-ARG2,1,1,0
It was her who hurt him with {vocab}.,vinegar,basic,I-ARG2,1,1,0
It was her who hurt him with {vocab}.,graphite,basic,I-ARG2,1,1,0
It was her who hurt him with {vocab}.,kettle,basic,I-ARG2,1,1,0
It was her who hurt him with {vocab}.,cookies,basic,I-ARG2,1,1,0
It was her who hurt him with {vocab}.,perfume,basic,I-ARG2,1,1,0
It was her who hurt him with {vocab}.,razor,basic,I-ARG2,1,1,0
It was her who hurt him with {vocab}.,bulbs,basic,I-ARG2,1,1,0
It was her who hurt him with {vocab}.,carpets,basic,I-ARG2,1,1,0
It was her who hurt him with {vocab}.,dessert,basic,I-ARG2,1,1,0
It was her who hurt him with {vocab}.,bows,basic,I-ARG2,0,1,0
It was her who hurt him with {vocab}.,glue,bert,I-ARG2,1,1,0
It was her who hurt him with {vocab}.,wick,bert,I-ARG2,1,1,0
It was her who hurt him with {vocab}.,watercolor,bert,I-ARG2,1,1,0
It was her who hurt him with {vocab}.,gossypol,bert,I-ARG2,0,1,0
It was her who hurt him with {vocab}.,jam,bert,I-ARG2,0,1,0
It was her who hurt him with {vocab}.,vinegar,bert,I-ARG2,1,1,0
It was her who hurt him with {vocab}.,graphite,bert,I-ARG2,1,1,0
It was her who hurt him with {vocab}.,kettle,bert,I-ARG2,0,1,0
It was her who hurt him with {vocab}.,cookies,bert,I-ARG2,1,1,0
It was her who hurt him with {vocab}.,perfume,bert,I-ARG2,0,1,0
It was her who hurt him with {vocab}.,razor,bert,I-ARG2,1,1,0
It was her who hurt him with {vocab}.,bulbs,bert,I-ARG2,1,1,0
It was her who hurt him with {vocab}.,carpets,bert,I-ARG2,1,1,0
It was her who hurt him with {vocab}.,dessert,bert,I-ARG2,1,1,0
It was her who hurt him with {vocab}.,bows,bert,I-ARG2,0,1,0
It was her who hurt him with {vocab}.,instruments,basic,I-ARG2,1,0,0
It was her who hurt him with {vocab}.,medals,basic,I-ARG2,1,0,0
It was her who hurt him with {vocab}.,newspapers,basic,I-ARG2,1,0,0
It was her who hurt him with {vocab}.,cards,basic,I-ARG2,0,0,0
It was her who hurt him with {vocab}.,tools,basic,I-ARG2,1,0,0
It was her who hurt him with {vocab}.,sculpture,basic,I-ARG2,1,0,0
It was her who hurt him with {vocab}.,clothing,basic,I-ARG2,1,0,0
It was her who hurt him with {vocab}.,photographs,basic,I-ARG2,1,0,0
It was her who hurt him with {vocab}.,bone,basic,I-ARG2,1,0,0
It was her who hurt him with {vocab}.,crystal,basic,I-ARG2,1,0,0
It was her who hurt him with {vocab}.,door,basic,I-ARG2,1,0,0
It was her who hurt him with {vocab}.,speakers,basic,I-ARG2,1,0,0
