,sentence,vocab,model_name,gold,eval,if_frequent
0,She was the one who {verb} me.,manipulated,basic,I-ARG2,1,1
1,She was the one who {verb} me.,appreciated,basic,I-ARG2,1,1
2,She was the one who {verb} me.,cared for,basic,I-ARG2,1,1
3,She was the one who {verb} me.,dismissed,basic,I-ARG2,1,1
4,She was the one who {verb} me.,remembered,basic,I-ARG2,1,1
5,She was the one who {verb} me.,advised,basic,I-ARG2,1,1
6,She was the one who {verb} me.,lied to,basic,I-ARG2,1,1
7,She was the one who {verb} me.,observed,basic,I-ARG2,1,1
8,She was the one who {verb} me.,improved,basic,I-ARG2,1,1
9,She was the one who {verb} me.,robbed,basic,I-ARG2,1,1
10,She was the one who {verb} me.,manipulated,bert,I-ARG2,1,1
11,She was the one who {verb} me.,appreciated,bert,I-ARG2,1,1
12,She was the one who {verb} me.,cared for,bert,I-ARG2,1,1
13,She was the one who {verb} me.,dismissed,bert,I-ARG2,1,1
14,She was the one who {verb} me.,remembered,bert,I-ARG2,1,1
15,She was the one who {verb} me.,advised,bert,I-ARG2,1,1
16,She was the one who {verb} me.,lied to,bert,I-ARG2,1,1
17,She was the one who {verb} me.,observed,bert,I-ARG2,1,1
18,She was the one who {verb} me.,improved,bert,I-ARG2,1,1
19,She was the one who {verb} me.,robbed,bert,I-ARG2,1,1
20,She was the one who {verb} me.,recommended,basic,I-ARG2,1,0
21,She was the one who {verb} me.,accepted,basic,I-ARG2,1,0
22,She was the one who {verb} me.,spoke to,basic,I-ARG2,1,0
23,She was the one who {verb} me.,sponsored,basic,I-ARG2,1,0
24,She was the one who {verb} me.,picked,basic,I-ARG2,1,0
25,She was the one who {verb} me.,encouraged,basic,I-ARG2,1,0
26,She was the one who {verb} me.,concerned,basic,I-ARG2,1,0
27,She was the one who {verb} me.,suspended,basic,I-ARG2,1,0
28,She was the one who {verb} me.,isolated,basic,I-ARG2,1,0
29,She was the one who {verb} me.,defended,basic,I-ARG2,1,0
30,She was the one who {verb} me.,recommended,bert,I-ARG2,1,0
31,She was the one who {verb} me.,accepted,bert,I-ARG2,1,0
32,She was the one who {verb} me.,spoke to,bert,I-ARG2,1,0
33,She was the one who {verb} me.,sponsored,bert,I-ARG2,1,0
34,She was the one who {verb} me.,picked,bert,I-ARG2,1,0
35,She was the one who {verb} me.,encouraged,bert,I-ARG2,1,0
36,She was the one who {verb} me.,concerned,bert,I-ARG2,1,0
37,She was the one who {verb} me.,suspended,bert,I-ARG2,1,0
38,She was the one who {verb} me.,isolated,bert,I-ARG2,1,0
39,She was the one who {verb} me.,defended,bert,I-ARG2,1,0
40,I was {verb} by her.,manipulated,basic,I-ARG2,1,1
41,I was {verb} by her.,appreciated,basic,I-ARG2,1,1
42,I was {verb} by her.,cared for,basic,I-ARG2,1,1
43,I was {verb} by her.,dismissed,basic,I-ARG2,1,1
44,I was {verb} by her.,remembered,basic,I-ARG2,1,1
45,I was {verb} by her.,advised,basic,I-ARG2,1,1
46,I was {verb} by her.,lied to,basic,I-ARG2,1,1
47,I was {verb} by her.,observed,basic,I-ARG2,1,1
48,I was {verb} by her.,improved,basic,I-ARG2,1,1
49,I was {verb} by her.,robbed,basic,I-ARG2,1,1
50,I was {verb} by her.,manipulated,bert,I-ARG2,1,1
51,I was {verb} by her.,appreciated,bert,I-ARG2,1,1
52,I was {verb} by her.,cared for,bert,I-ARG2,1,1
53,I was {verb} by her.,dismissed,bert,I-ARG2,1,1
54,I was {verb} by her.,remembered,bert,I-ARG2,1,1
55,I was {verb} by her.,advised,bert,I-ARG2,1,1
56,I was {verb} by her.,lied to,bert,I-ARG2,1,1
57,I was {verb} by her.,observed,bert,I-ARG2,1,1
58,I was {verb} by her.,improved,bert,I-ARG2,1,1
59,I was {verb} by her.,robbed,bert,I-ARG2,1,1
60,I was {verb} by her.,recommended,basic,I-ARG2,1,0
61,I was {verb} by her.,accepted,basic,I-ARG2,1,0
62,I was {verb} by her.,spoke to,basic,I-ARG2,1,0
63,I was {verb} by her.,sponsored,basic,I-ARG2,1,0
64,I was {verb} by her.,picked,basic,I-ARG2,1,0
65,I was {verb} by her.,encouraged,basic,I-ARG2,1,0
66,I was {verb} by her.,concerned,basic,I-ARG2,1,0
67,I was {verb} by her.,suspended,basic,I-ARG2,1,0
68,I was {verb} by her.,isolated,basic,I-ARG2,1,0
69,I was {verb} by her.,defended,basic,I-ARG2,1,0
70,I was {verb} by her.,recommended,bert,I-ARG2,1,0
71,I was {verb} by her.,accepted,bert,I-ARG2,1,0
72,I was {verb} by her.,spoke to,bert,I-ARG2,1,0
73,I was {verb} by her.,sponsored,bert,I-ARG2,1,0
74,I was {verb} by her.,picked,bert,I-ARG2,1,0
75,I was {verb} by her.,encouraged,bert,I-ARG2,1,0
76,I was {verb} by her.,concerned,bert,I-ARG2,1,0
77,I was {verb} by her.,suspended,bert,I-ARG2,1,0
78,I was {verb} by her.,isolated,bert,I-ARG2,1,0
79,I was {verb} by her.,defended,bert,I-ARG2,1,0
