,sentence,vocab,model_name,gold,eval,if_frequent
0,I was her who hurt him with {vocab}.,glue,basic,I-ARG2,1,1
1,I was her who hurt him with {vocab}.,wick,basic,I-ARG2,1,1
2,I was her who hurt him with {vocab}.,watercolor,basic,I-ARG2,1,1
3,I was her who hurt him with {vocab}.,gossypol,basic,I-ARG2,1,1
4,I was her who hurt him with {vocab}.,jam,basic,I-ARG2,1,1
5,I was her who hurt him with {vocab}.,vinegar,basic,I-ARG2,1,1
6,I was her who hurt him with {vocab}.,graphite,basic,I-ARG2,1,1
7,I was her who hurt him with {vocab}.,kettle,basic,I-ARG2,1,1
8,I was her who hurt him with {vocab}.,cookies,basic,I-ARG2,1,1
9,I was her who hurt him with {vocab}.,perfume,basic,I-ARG2,1,1
10,I was her who hurt him with {vocab}.,razor,basic,I-ARG2,1,1
11,I was her who hurt him with {vocab}.,bulbs,basic,I-ARG2,1,1
12,I was her who hurt him with {vocab}.,carpets,basic,I-ARG2,1,1
13,I was her who hurt him with {vocab}.,dessert,basic,I-ARG2,1,1
14,I was her who hurt him with {vocab}.,bows,basic,I-ARG2,1,1
15,I was her who hurt him with {vocab}.,glue,bert,I-ARG2,1,1
16,I was her who hurt him with {vocab}.,wick,bert,I-ARG2,1,1
17,I was her who hurt him with {vocab}.,watercolor,bert,I-ARG2,1,1
18,I was her who hurt him with {vocab}.,gossypol,bert,I-ARG2,1,1
19,I was her who hurt him with {vocab}.,jam,bert,I-ARG2,1,1
20,I was her who hurt him with {vocab}.,vinegar,bert,I-ARG2,1,1
21,I was her who hurt him with {vocab}.,graphite,bert,I-ARG2,1,1
22,I was her who hurt him with {vocab}.,kettle,bert,I-ARG2,1,1
23,I was her who hurt him with {vocab}.,cookies,bert,I-ARG2,1,1
24,I was her who hurt him with {vocab}.,perfume,bert,I-ARG2,1,1
25,I was her who hurt him with {vocab}.,razor,bert,I-ARG2,1,1
26,I was her who hurt him with {vocab}.,bulbs,bert,I-ARG2,1,1
27,I was her who hurt him with {vocab}.,carpets,bert,I-ARG2,1,1
28,I was her who hurt him with {vocab}.,dessert,bert,I-ARG2,1,1
29,I was her who hurt him with {vocab}.,bows,bert,I-ARG2,1,1
30,I was her who hurt him with {vocab}.,instruments,basic,I-ARG2,1,0
31,I was her who hurt him with {vocab}.,medals,basic,I-ARG2,1,0
32,I was her who hurt him with {vocab}.,newspapers,basic,I-ARG2,1,0
33,I was her who hurt him with {vocab}.,cards,basic,I-ARG2,1,0
34,I was her who hurt him with {vocab}.,tools,basic,I-ARG2,1,0
35,I was her who hurt him with {vocab}.,sculpture,basic,I-ARG2,1,0
36,I was her who hurt him with {vocab}.,clothing,basic,I-ARG2,1,0
